date,summary,doba,energy,note,month,week
2025-09-01,PB,73.0,410,tenis. loket,9,36
2025-08-28,ZRT,60.0,304,tenis. loket,8,35
2025-08-21,PB,61.0,396,tenis. loket,8,34
2025-08-18,ZRT,74.0,399,tenis. loket,8,34
2025-08-14,PB,64.0,436,,8,33
2025-08-11,ZRT,60.0,400,,8,33
2025-08-07,"Nohy, břicho",73.0,408,,8,32
2025-08-04,PB,48.0,317,roztrž. ruky,8,32
2025-07-31,ZRT,76.0,392,,7,31
2025-07-24,PB,96.0,519,,7,30
2025-07-22,ZRT,74.0,450,,7,30
2025-07-17,PB,64.0,422,,7,29
2025-07-14,ZRT,56.0,491,,7,29
2025-07-10,PB,99.0,490,,7,28
2025-07-07,ZRT,60.0,400,,7,28
2025-07-03,PB,105.0,544,,7,27
2025-06-30,ZRT,60.0,400,,6,27
2025-06-26,PB,60.0,400,,6,26
