date,summary,note,month,week,summary_norm,doba_per_category,energy_per_category
2025-10-02,"břicho, nohy",,10,40,NOHY,32.5,169.5
2025-10-02,"břicho, nohy",,10,40,BRICHO,32.5,169.5
2025-09-29,"ZRT, břicho",,9,40,ZRT,49.5,250.0
2025-09-29,"ZRT, břicho",,9,40,BRICHO,49.5,250.0
2025-09-27,Doma: Bricho,,9,39,BRICHO,47.0,250.0
2025-09-25,PB,tenis. loket,9,39,PB,80.0,488.0
2025-09-22,"ZRT, břicho",tenisový loket,9,39,ZRT,43.0,238.5
2025-09-22,"ZRT, břicho",tenisový loket,9,39,BRICHO,43.0,238.5
2025-09-18,"PB, břicho",tenis. loket,9,38,PB,43.0,286.5
2025-09-18,"PB, břicho",tenis. loket,9,38,BRICHO,43.0,286.5
2025-09-15,"ZRT, břicho",tenisový loket,9,38,ZRT,41.0,214.5
2025-09-15,"ZRT, břicho",tenisový loket,9,38,BRICHO,41.0,214.5
2025-09-11,"PB, břicho",tenis. loket,9,37,PB,36.0,189.0
2025-09-11,"PB, břicho",tenis. loket,9,37,BRICHO,36.0,189.0
2025-09-04,"ZRT, břicho",tenis. loket,9,36,ZRT,50.0,243.5
2025-09-04,"ZRT, břicho",tenis. loket,9,36,BRICHO,50.0,243.5
2025-09-01,PB,tenis. loket,9,36,PB,73.0,410.0
2025-08-28,ZRT,tenis. loket,8,35,ZRT,60.0,304.0
2025-08-21,PB,tenis. loket,8,34,PB,61.0,396.0
2025-08-18,ZRT,tenis. loket,8,34,ZRT,74.0,399.0
2025-08-14,PB,,8,33,PB,64.0,436.0
2025-08-11,ZRT,,8,33,ZRT,60.0,400.0
2025-08-07,"Nohy, břicho",,8,32,NOHY,36.5,204.0
2025-08-07,"Nohy, břicho",,8,32,BRICHO,36.5,204.0
2025-08-04,PB,roztrž. ruky,8,32,PB,48.0,317.0
2025-07-31,ZRT,,7,31,ZRT,76.0,392.0
2025-07-24,PB,,7,30,PB,96.0,519.0
2025-07-22,ZRT,,7,30,ZRT,74.0,450.0
2025-07-17,PB,,7,29,PB,64.0,422.0
2025-07-14,ZRT,,7,29,ZRT,56.0,491.0
2025-07-10,PB,,7,28,PB,99.0,490.0
2025-07-07,ZRT,,7,28,ZRT,60.0,400.0
2025-07-03,PB,,7,27,PB,105.0,544.0
2025-06-30,ZRT,,6,27,ZRT,60.0,400.0
2025-06-26,PB,,6,26,PB,60.0,400.0
